source,target,weight
ADP,AIZ,0.4314787820886805
ADP,ALL,0.45344021080878805
ADP,AMGN,0.4211906035727899
ADP,AMT,0.4387188000210196
ADP,ANET,-0.4427369920005396
ADP,AON,0.4840770632067245
ADP,ATO,0.6441482889448127
ADP,AVB,0.5836585786776239
ADP,AWK,0.5532710947182224
ADP,BR,0.6763035902622845
ADP,BRO,0.6103306566268586
ADP,CAG,0.45068556972534174
ADP,CB,0.5375474755476942
ADP,CBOE,0.5001720884647567
ADP,CHD,0.5442368367068978
ADP,CL,0.5265534516391042
ADP,CLX,0.46553972114320413
ADP,CME,0.4557622530521797
ADP,CMS,0.6395433981494367
ADP,CNP,0.4557899359471689
ADP,CPB,0.5465250209922338
ADP,CPRT,0.4043484927334428
ADP,CPT,0.4738987356099463
ADP,CSX,0.4115177089820437
ADP,CTAS,0.6503060198515555
ADP,D,0.5588596715146926
ADP,DGX,0.4650913234181318
ADP,DIS,0.4709631796901393
ADP,DOC,0.4965873453930742
ADP,DRI,0.40471429502967377
ADP,DTE,0.44572423491290564
ADP,DUK,0.4936607724989707
ADP,ECL,0.40003667702313606
ADP,ED,0.5860073945972374
ADP,EQR,0.5966937613935933
ADP,ES,0.4789080510684102
ADP,ESS,0.5489673053426938
ADP,EVRG,0.5568149881511006
ADP,EXC,0.50891835547683
ADP,EXR,0.4659841504997414
ADP,FDS,0.5273631533655077
ADP,FIS,0.44230174850206505
ADP,FISV,0.49889606995756325
ADP,FRT,0.545393097329438
ADP,GIS,0.5624260519414811
ADP,HIG,0.5416016661248384
ADP,HSY,0.40383394456312705
ADP,ITW,0.43688482284377045
ADP,JKHY,0.58029837769446
ADP,JNJ,0.4230807028132792
ADP,KHC,0.4770241086288067
ADP,KIM,0.5243769332591106
ADP,KMB,0.5771212073197269
ADP,KO,0.5322768697443734
ADP,L,0.5704371214298923
ADP,LHX,0.4368778600383333
ADP,LIN,0.4969708726950175
ADP,LNT,0.6466374384900234
ADP,MA,0.6656435788509429
ADP,MAA,0.5234052720708864
ADP,MAR,0.47522946432911745
ADP,MCO,0.48377800947246835
ADP,MDLZ,0.4293079471864912
ADP,MET,0.4370398588584407
ADP,MKC,0.601637751469123
ADP,MMC,0.6021517754556177
ADP,MO,0.4436149976398907
ADP,NDAQ,0.5093253252378406
ADP,NI,0.40921591652627565
ADP,NTRS,0.45733254947369495
ADP,NVDA,-0.5588864500496378
ADP,O,0.5777086117972607
ADP,ORLY,0.41423313601019934
ADP,OTIS,0.4453568666222557
ADP,PAYC,0.4515300075494715
ADP,PAYX,0.7837348797156127
ADP,PEP,0.5977456694316313
ADP,PG,0.5533148053965774
ADP,PGR,0.41007645793818964
ADP,PNW,0.5578552226262002
ADP,PPL,0.5298059848695409
ADP,PSA,0.45825165466711015
ADP,REG,0.5119177816491364
ADP,ROL,0.5602095121564906
ADP,ROP,0.4484220399019855
ADP,RSG,0.5280203355318736
ADP,SBAC,0.5169837247337316
ADP,SBUX,0.41163073990792076
ADP,SJM,0.4566005110689997
ADP,SO,0.6108593330136404
ADP,SPG,0.5212515236640728
ADP,SYY,0.5197920633149551
ADP,T,0.43224093478741726
ADP,TDG,0.4290640428405372
ADP,TJX,0.4379134380348286
ADP,TMUS,0.5743134139022056
ADP,TRV,0.43996215924213544
ADP,TSN,0.5209081663417151
ADP,UDR,0.6142618650308357
ADP,V,0.7229620663340309
ADP,VICI,0.4618858186844627
ADP,VRSK,0.7374932451990557
ADP,VTR,0.48739524440725546
ADP,VZ,0.4916458019916532
ADP,WEC,0.6738939684849304
ADP,WELL,0.5024334713815771
ADP,WM,0.5336986378965767
ADP,WTW,0.5852003439490923
ADP,WY,0.4967066243316015
ADP,XEL,0.6250862038193031
ADP,ZTS,0.48733378153757145
ADSK,CCL,0.4159942917032322
ADSK,IVZ,0.41221793262430034
ADSK,NCLH,0.42042959625009296
ADSK,TYL,0.40969426742144716
AEE,AEP,0.6011622455696364
AEE,AFL,0.44803343970852694
AEE,AIZ,0.4311747261056101
AEE,ALL,0.4953703180402346
AEE,AMT,0.5180813967277785
AEE,ARE,0.41345754161676074
AEE,ATO,0.783516080614358
AEE,AVB,0.5636870333193215
AEE,AWK,0.5630598802326913
AEE,BAC,0.4066568584176577
AEE,BK,0.4841144248579535
AEE,BR,0.5203763240831594
AEE,BRK-B,0.43817969355884534
AEE,BRO,0.5276307156433553
AEE,BXP,0.42781603425817155
AEE,CAG,0.4120269647400067
AEE,CB,0.47539977364049657
AEE,CCI,0.4711330211877698
AEE,CHD,0.5032614593233513
AEE,CINF,0.4611052267018314
AEE,CL,0.4707123113205925
AEE,CLX,0.4760873922244954
AEE,CME,0.44817504939650993
AEE,CMS,0.7550924661152202
AEE,CNP,0.6978261632200855
AEE,CPB,0.5050958740542065
AEE,CPT,0.4519110237826702
AEE,CTAS,0.5647339914927146
AEE,D,0.7145664061793573
AEE,DGX,0.46343694035191907
AEE,DOC,0.585284413993093
AEE,DTE,0.7344352348435944
AEE,DUK,0.711643491018259
AEE,ED,0.7089472500634082
AEE,EQR,0.5409198895614137
AEE,ES,0.7057932854231288
AEE,ESS,0.5265397029471645
AEE,ETR,0.5752950122905048
AEE,EVRG,0.7681040003486339
AEE,EXC,0.713200614608706
AEE,FE,0.4396187676763974
AEE,FISV,0.4761627822880656
AEE,FRT,0.4950403279195006
AEE,GIS,0.5207919262355155
AEE,HIG,0.5141951142024738
AEE,HRL,0.5278381665856481
AEE,ICE,0.4029651400760509
AEE,JKHY,0.40283778753718985
AEE,JNJ,0.41866938952012456
AEE,KHC,0.4778300420398017
AEE,KIM,0.4561281220429576
AEE,KMB,0.5036727235928122
AEE,KO,0.5025099935600027
AEE,KVUE,0.4028376593216932
AEE,L,0.598369399895731
AEE,LNT,0.8430064828674679
AEE,MA,0.4977336938285522
AEE,MAA,0.4857255381218267
AEE,MCO,0.5078922835848124
AEE,MDLZ,0.480279741737948
AEE,MKC,0.5603629199718917
AEE,MMC,0.49144970159291207
AEE,MO,0.4176385143272059
AEE,MSFT,-0.5010193737517701
AEE,NEE,0.5372355529079854
AEE,NI,0.7033915283488461
AEE,NSC,0.4040633762748473
AEE,O,0.5399432216117338
AEE,OKE,0.4302539497352038
AEE,PAYX,0.5664889068922561
AEE,PEG,0.4778628264443062
