ticker1,ticker2,Correlation,n,pval,Source_Cluster,Target_Cluster,Edge_Type
AMZN,CVX,-0.5295680588286097,64,8.08837606826288e-06,0,3,External
AMZN,DAL,-0.41514577238600975,64,0.000716454852837129,0,4,External
AMZN,DD,-0.5294323959549373,64,8.139662346648732e-06,0,1,External
AMZN,DOV,-0.610862037012718,64,1.0570036399429448e-07,0,1,External
AMZN,EA,0.5329900510775176,64,6.890108358521332e-06,0,0,Internal
AMZN,ELV,-0.47865783731780254,64,7.242956886398578e-05,0,2,External
AMZN,EMR,-0.5331651936166424,64,6.833474211568775e-06,0,1,External
AMZN,ETN,-0.5853049493455057,64,4.697977353663804e-07,0,1,External
AMZN,F,-0.5723195247170441,64,9.556816886725392e-07,0,1,External
AMZN,FITB,-0.5480012865390338,64,3.3388256043048267e-06,0,3,External
AMZN,FTNT,0.4047909254544234,64,0.0009995366730929213,0,0,Internal
AMZN,FTV,-0.47609622188285106,64,8.015704769862964e-05,0,1,External
AMZN,GD,-0.603827175211735,64,1.614623180321507e-07,0,3,External
AMZN,GE,-0.5085252497661212,64,2.0886717718227528e-05,0,3,External
AMZN,GL,-0.4933012419372015,64,3.994084302999805e-05,0,3,External
AMZN,GM,-0.4666637728021501,64,0.00011563287899034987,0,4,External
AMZN,GOOG,0.47916747925603487,64,7.097658420750325e-05,0,0,Internal
AMZN,GOOGL,0.4678170030046305,64,0.00011062989629882178,0,0,Internal
AMZN,GPC,-0.5527084775652209,64,2.640958600772908e-06,0,1,External
AMZN,HBAN,-0.583915945290888,64,5.076221006403651e-07,0,3,External
AMZN,HCA,-0.48419072840391975,64,5.802602836703412e-05,0,4,External
AMZN,HIG,-0.4419387706212292,64,0.0002876811956398901,0,3,External
AMZN,HII,-0.42907842131200347,64,0.0004499832264246099,0,3,External
AMZN,HON,-0.5522117617158747,64,2.7075751327514056e-06,0,1,External
AMZN,HSIC,-0.49828437669248044,64,3.2413885489954794e-05,0,2,External
AMZN,HUBB,-0.4681395342710929,64,0.00010926674338216585,0,1,External
AMZN,HWM,-0.5381481327356862,64,5.392820835383756e-06,0,4,External
AMZN,IBM,-0.45128050305294115,64,0.00020553561475599239,0,1,External
AMZN,IDXX,0.44549357091066816,64,0.00025341886998540245,0,0,Internal
AMZN,IEX,-0.4096217455066727,64,0.0008568564172354401,0,1,External
AMZN,INTU,0.4201157977912955,64,0.0006083109673140875,0,0,Internal
